iter	AUC	CrossEntropy	Accuracy
495	0.7908992482	0.4499355772	0.7953203586
496	0.7909448472	0.449910607	0.7953203586
497	0.790969743	0.4498939481	0.7953203586
498	0.7909952099	0.4498576272	0.7953203586
499	0.7911651086	0.4497482839	0.7953750273
500	0.7911738369	0.4497447692	0.7953203586
501	0.7913878499	0.4496207957	0.7954843647
502	0.7917240419	0.4494079061	0.7956483709
503	0.7917374034	0.4493978775	0.7957030396
504	0.7918355349	0.4493396197	0.7957577083
505	0.7918534645	0.449328791	0.7956483709
506	0.791887007	0.4492937054	0.7955390335
507	0.7919489204	0.4492330388	0.7956483709
508	0.7921378907	0.449123741	0.7957030396
509	0.7921585611	0.4491054991	0.7958670457
510	0.7921907985	0.4490461127	0.795812377
511	0.7921904069	0.4490457239	0.795812377
512	0.7922202624	0.449003339	0.7955390335
513	0.7923592289	0.4489317069	0.7955390335
514	0.7924839529	0.448849716	0.7959217144
515	0.7925246575	0.4488272765	0.795812377
516	0.7925394058	0.4488174529	0.7957577083
517	0.7927769769	0.4486871291	0.7959217144
518	0.7927709568	0.4486305176	0.7959217144
519	0.7928780776	0.4485705744	0.7956483709
520	0.7930838844	0.4484585901	0.7955937022
521	0.7931193031	0.4484360488	0.7956483709
522	0.7931751801	0.4484026691	0.7956483709
523	0.7932771944	0.4483408895	0.7957577083
524	0.793435151	0.4482484484	0.795812377
525	0.7934606994	0.4481996047	0.7958670457
526	0.7934998215	0.4481934021	0.7958670457
527	0.793518061	0.4481680098	0.795812377
528	0.7935852114	0.4481360246	0.795812377
529	0.7936997551	0.448073734	0.7959217144
530	0.7938295203	0.4480002811	0.7960857205
531	0.7938776153	0.4479667189	0.7960310518
532	0.7940206605	0.4478587154	0.7961403892
533	0.7940229771	0.4478586061	0.7961403892
534	0.7940271537	0.4478486683	0.7962497267
535	0.7940528652	0.4478131187	0.7962497267
536	0.7940695876	0.4478021065	0.7962497267
537	0.7941511598	0.4477489563	0.7962497267
538	0.7943438336	0.4476391914	0.7962497267
539	0.794422926	0.4475911546	0.7963043954
540	0.7944239049	0.4475894296	0.7963043954
541	0.794432731	0.447587996	0.7962497267
542	0.7945956146	0.4474903299	0.7963043954
543	0.7947191966	0.4474241753	0.7963590641
544	0.7947290668	0.4474238238	0.7964137328
545	0.7948582284	0.4473527537	0.7964137328
546	0.7948709373	0.4473441537	0.7965777389
547	0.7949609115	0.4472752936	0.7964684015
548	0.7949787922	0.4472663113	0.7964137328
549	0.7951754303	0.4471450748	0.7964684015
550	0.7952841825	0.4470937972	0.7964684015
551	0.7953379876	0.447050122	0.7964684015
552	0.7954572952	0.4469711046	0.7966870763
553	0.7956508499	0.446859146	0.7966870763
554	0.7958196229	0.4467519712	0.7969057511
555	0.7960442567	0.4466139665	0.7969604199
556	0.7961635969	0.4465276853	0.797124426
557	0.7962248251	0.4464947706	0.7971790947
558	0.7962653665	0.4464730187	0.7972884321
559	0.7963190411	0.4464350788	0.7972884321
560	0.7964672905	0.4463369874	0.7973431008
561	0.7964692156	0.4463355142	0.7973977695
562	0.7965086477	0.4463122209	0.7973431008
563	0.7966831145	0.4461885938	0.7976164443
564	0.7967997628	0.4461139671	0.7975617756
565	0.7969519767	0.4460132729	0.7973977695
566	0.7970366487	0.445975161	0.7974524382
567	0.7971896131	0.4458606452	0.7971790947
568	0.7972257659	0.445839231	0.7971790947
569	0.7973508652	0.4457616057	0.7973431008
570	0.7973529697	0.4457615	0.7973431008
571	0.7974770575	0.4456845331	0.7975071069
572	0.7975363768	0.4456461836	0.7975071069
573	0.7975356916	0.4456439087	0.7976711131
574	0.7976581316	0.4455720926	0.7976711131
575	0.7976623571	0.4455706257	0.7975617756
576	0.7976951328	0.4455510448	0.7976711131
577	0.7976963238	0.4455506939	0.7976711131
578	0.7977127524	0.4455492421	0.7976711131
579	0.7977131276	0.445545151	0.7976711131
580	0.7978030529	0.445482892	0.7975617756
581	0.7979001892	0.4454441947	0.7976711131
582	0.7980166418	0.4453625049	0.7977257818
583	0.7982017619	0.44525512	0.7976164443
584	0.7982291702	0.4452363863	0.7976711131
585	0.7982753564	0.4452114678	0.7977257818
586	0.7984460546	0.4451263346	0.7976711131
587	0.7985418857	0.4450723566	0.7976164443
588	0.798632953	0.4450189303	0.7976164443
589	0.7986384836	0.4450182604	0.7976164443
590	0.7987390133	0.4449602698	0.7976164443
591	0.7989084063	0.4448741163	0.7976711131
592	0.7990135856	0.4448131899	0.7977257818
593	0.7990303731	0.4448034623	0.7977257818
594	0.7990328856	0.4448017275	0.7977257818
595	0.799055008	0.4447757671	0.7977257818
596	0.7991076547	0.4447481852	0.7976711131
597	0.7994536028	0.4445671415	0.7976711131
598	0.799565161	0.4445028459	0.7977804505
599	0.7996794927	0.4444392501	0.7977804505
600	0.7999627606	0.4442819817	0.7975617756
601	0.7999626138	0.4442817523	0.7975617756
602	0.7999882601	0.4442599623	0.7975617756
603	0.7999911151	0.4442583744	0.7975617756
604	0.8000574824	0.4442237704	0.7975617756
605	0.800369741	0.444005449	0.7977257818
606	0.8003689579	0.444004653	0.7976711131
607	0.8005799202	0.4438193262	0.7977257818
608	0.8006314249	0.4437991948	0.7976164443
609	0.8006358788	0.443789358	0.7975617756
610	0.8007400466	0.4437322074	0.7975617756
